beds, baths, surface, year, type, price
3,1,860,1950,"house",565000
3,2,987,1951,"house",790000
4,2,1315,1950,"house",648000
3,1,1012,1951,"house",605000
3,2,1599,1964,"house",800000
4,2,1574,1964,"house",835000
4,2,1643,2001,"house",855000
3,2.5,1472,2005,"house",600000
3,1,877,1950,"house",530000
2,2,1335,1975,"house",699000
3,2,1344,1955,"house",670000
3,2,1116,1954,"house",790000
3,2,1228,1954,"house",625000
4,2,1240,1956,"house",770000
3,2.5,1531,2002,"house",365000
4,2,1576,1964,"house",807000
3,2,1389,1956,"house",655000
3,2,1324,1954,"house",884000
3,2,1140,1959,"house",760000
3,2.5,1960,2007,"house",865000
3,1,1030,1950,"house",710000
3,1,860,1950,"house",605000
3,2,1140,1958,"house",735000
3,2,1718,1955,"house",1274000
3,2,1960,1955,"house",1311000
3,2,1456,1955,"house",795000
3,2,1615,1954,"house",370000
4,2,2034,1954,"house",240000
4,3,1812,1954,"house",1295000
3,2,1411,1964,"house",203500
3,2,1384,1955,"house",820000
3,2,1389,1956,"house",785000
6,4.5,2491,1950,"house",104500
3,1,832,1951,"house",535000
1,1,736,1941,"house",600000
4,2.5,2534,1954,"house",1425000
3,1,1071,1948,"house",799000
3,2,1116,1954,"house",789500
3,2,1140,1959,"house",745000
3,2,1236,1950,"house",610000
3,2,1116,1954,"house",465000
2,1,1458,1935,"house",665500
4,3,1630,2006,"house",820000
2,2,1224,1950,"house",107500
3,2,1189,1994,"house",591500
3,2,1384,1955,"house",725000
4,3,1697,2006,"house",825000
4,2,2174,1962,"house",1175000
2,1,906,1952,"house",640000
3,2,1060,1962,"house",532000
4,2,1574,1964,"house",635000
3,1,860,1950,"house",525000
4,2,1216,1955,"house",660000
5,3,2207,1955,"house",1550000
3,2,1418,1953,"house",1065000
3,2,1280,1955,"house",720000
3,2.5,2498,1989,"house",860000
1,1,551,1965,"condo",225000
2,2,1150,2004,"condo",521000
1,1,812,1965,"condo",259000
2,2,955,1985,"condo",447500
2,2,1113,1999,"condo",256000
1,1,530,2007,"condo",122000
2,2,1212,1973,"condo",498000
1,1,756,1962,"condo",290000
1,1,756,1962,"condo",335000
2,2,998,1978,"condo",433500
2,2,998,1978,"condo",335000
2,2,998,1978,"condo",425000
2,2,1075,1982,"condo",485000
2,1.5,972,1974,"condo",373000
2,1,935,1965,"condo",330000
1,1,731,1965,"condo",247000
1,1,551,1965,"condo",230000
2,1,935,1965,"condo",290000
2,1.5,1153,1970,"condo",485000
2,2,1150,2004,"condo",515000
2,2.5,1171,1984,"condo",80500
2,1,1000,1964,"condo",150500
2,2.5,1171,1984,"condo",485000
3,2.5,1624,1988,"condo",76500
2,2,1003,1965,"condo",354000
2,2.5,1240,1988,"condo",500000
3,2.5,1543,2002,"condo",600000
4,2.5,1468,1965,"condo",589000
2,2,1003,1965,"condo",403000
2,1,935,1965,"condo",345000
3,2.5,1512,1988,"condo",182000
1,1,789,1999,"condo",125500
3,2.5,1424,1996,"condo",625500
2,2,998,1978,"condo",365000
2,2.5,1113,1985,"condo",200000
0,1,576,1962,"condo",240000
1,1,756,1962,"condo",293000
3,2.5,1487,1974,"condo",631500
2,2,1206,1977,"condo",430000
2,2,1206,1974,"condo",470000
2,2,1206,1974,"condo",482000
4,3,2127,2002,"condo",765000
1,1,697,1963,"condo",225000
1,1,769,1999,"condo",315000
2,2,1183,1980,"condo",505000
2,1.5,968,1976,"townhouse",447000
3,2.5,1595,1979,"townhouse",670000
3,3,1802,2002,"townhouse",750000
4,3,2128,2002,"townhouse",749000
4,3.5,1714,2005,"townhouse",732500
3,2,1290,1968,"townhouse",581500
3,2.5,1203,1974,"townhouse",625000
3,2.5,1203,1974,"townhouse",599000
3,3,1928,2002,"townhouse",758000
2,2.5,1394,1979,"townhouse",462500
2,2.5,1560,1987,"townhouse",542000
2,1,939,1962,"townhouse",405000
3,2.5,1490,1984,"townhouse",620000
3,1,1541,1947,"townhouse",510000
2,2.5,1233,1984,"townhouse",529000
3,2.5,1366,1968,"townhouse",605000
2,2.5,1318,1988,"townhouse",660000
2,1.5,1341,1979,"townhouse",565000
3,3,1599,2002,"townhouse",695000
3,3,1802,2002,"townhouse",750000
2,2,1150,2003,"townhouse",135000
3,2.5,1526,1976,"townhouse",640000
3,2.5,1826,1988,"townhouse",765000
2,1,990,1971,"townhouse",450000
2,3,1796,1999,"townhouse",735000
2,2.5,1407,1988,"townhouse",593000
3,2.5,1503,1988,"townhouse",635000
2,2.5,1318,1988,"townhouse",652000
