 "this version of the simple language detection model was created on december " ,"English"
 "m de troisvilles comme s appelait encore sa famille en gascogne ou m de tréville comme il avait fini par s appeler lui même à paris avait réellement commencé comme d artagnan c est à dire sans un sou vaillant mais avec ce fonds d audace d esprit et d entendement qui fait que le plus pauvre gentillâtre gascon reçoit souvent plus en ses espérances de l héritage paternel que le plus riche gentilhomme périgourdin ou berrichon ne reçoit en réalité sa bravoure insolente son bonheur plus insolent encore dans un temps où les coups pleuvaient comme grêle l avaient hissé au sommet de cette échelle difficile qu on appelle la faveur de cour et dont il avait escaladé quatre à quatre les échelons " ,"French"
 "et saluant la dame d un signe de tête il s élança sur son cheval tandis que le cocher du carrosse fouettait vigoureusement son attelage les deux interlocuteurs partirent donc au galop s éloignant chacun par un côté opposé de la rue " ,"French"
 "cette menace acheva d intimider l hôte après le roi et m le cardinal m de tréville était l homme dont le nom peut être était le plus souvent répété par les militaires et même par les bourgeois il y avait bien le père joseph c est vrai mais son nom à lui n était jamais prononcé que tout bas tant était grande la terreur qu inspirait l Éminence grise comme on appelait le familier du cardinal " ,"French"
 " found it the mouse replied rather crossly of course you know what it means " ,"English"
 " only a thimble said alice sadly " ,"English"
 " voyons l hôte dit il est ce que vous ne me débarrasserez pas de ce frénétique en conscience je ne puis le tuer et cependant ajouta t il avec une expression froidement menaçante cependant il me gêne où est il " ,"French"
 "this was not an encouraging opening for a conversation alice replied rather shyly i i hardly know sir just at present at least i know who i was when i got up this morning but i think i must have been changed several times since then " ,"English"
 "and she went on planning to herself how she would manage it they must go by the carrier she thought and how funny it ll seem sending presents to one s own feet and how odd the directions will look " ,"English"
 "en efeto rematado ya su juicio vino a dar en el más estraño pensamiento que jamás dio loco en el mundo y fue que le pareció convenible y necesario así para el aumento de su honra como para el servicio de su república hacerse caballero andante y irse por todo el mundo con sus armas y caballo a buscar las aventuras y a ejercitarse en todo aquello que él había leído que los caballeros andantes se ejercitaban deshaciendo todo género de agravio y poniéndose en ocasiones y peligros donde acabándolos cobrase eterno nombre y fama imaginábase el pobre ya coronado por el valor de su brazo por lo menos del imperio de trapisonda y así con estos tan agradables pensamientos llevado del estraño gusto que en ellos sentía se dio priesa a poner en efeto lo que deseaba " ,"Spanish"
 "l hôte qui n était pas doué d une grande perspicacité ne remarqua point l expression que ses paroles avaient donnée à la physionomie de l inconnu celui ci quitta le rebord de la croisée sur lequel il était toujours resté appuyé du bout du coude et fronça le sourcil en homme inquiet " ,"French"
 " je ne vous parle pas monsieur " ,"French"
 " b žcómo estáis rocinante tan delgado r porque nunca se come y se trabaja b pues žqué es de la cebada y de la paja r no me deja mi amo ni un bocado b andá señor que estáis muy mal criado pues vuestra lengua de asno al amo ultraja r asno se es de la cuna a la mortaja žqueréislo ver miraldo enamorado b žes necedad amar r no es gran prudencia b metafísico estáis r es que no como b quejaos del escudero r no es bastante žcómo me he de quejar en mi dolencia si el amo y escudero o mayordomo son tan rocines como rocinante " ,"Spanish"
