address,bedrooms,full_bathrooms,half_bathrooms,type,surface,lot_surface,price
10529 Early Heights Ct Las Vegas NV 89129,4,2,0,Single Family Home,1757,5662,215000
2130 Sealion Dr Unit 205 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1005,,85000
2636 Golfside Dr Las Vegas NV 89134,2,2,0,Single Family Home,1653,6969,339000
2838 Geary Pl Unit: 4013 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1226,1219,99000
1428 Iron Springs Dr Las Vegas NV 89144,3,2,0,Single Family Home,1149,4791,145000
5330 E Charleston Bl Unit: 33 Las Vegas NV 89142,3,2,1,Condo/Townhome/Row Home/Co-Op,1170,3092,94999
11154 Gold Hitt Ct Las Vegas NV 89179,5,3,0,Single Family Home,2346,6969,374900
8837 Colorful Pines Ave Las Vegas NV 89143,4,3,0,Single Family Home,1572,3920,188000
10414 Melon Cactus St Las Vegas NV 89141,2,2,0,Condo/Townhome/Row Home/Co-Op,1002,2613,164990
519 Bayberry Dr Las Vegas NV 89110,3,2,0,Single Family Home,1290,3920,103900
839 Kenny Way Las Vegas NV 89107,4,3,0,Single Family Home,3056,20038,429900
North Las Vegas NV 89032,4,2,0,Single Family Home,1871,6098,174900
2134 Burtonsville Dr Henderson NV 89044,2,2,0,Single Family Home,1712,5227,295000
8636 Stone Harbor Ave Las Vegas NV 89145,5,2,1,Single Family Home,2427,6534,299900
7561 Bear River Ct Las Vegas NV 89139,2,2,0,Single Family Home,1389,4356,172777
4313 Ira St Las Vegas NV 89130,3,2,0,Single Family Home,1394,20038,199000
4525 Dean Martin Dr Unit 2400 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,3414,,2650000
1430 Summer Glow Ave Las Vegas NV 89012,2,2,0,Single Family Home,1160,2613,127500
7845 Fairfield Ave Las Vegas NV 89123,3,3,1,Single Family Home,2803,22651,365000
848 Mantis Way Unit 1 Las Vegas NV 89110,2,2,0,Condo/Townhome/Row Home/Co-Op,1022,,65000
4813 Elmhurst Ln Las Vegas NV 89108,2,1,0,Single Family Home,1300,6098,129900
4440 Rich Dr # 202 Las Vegas NV 89102,2,2,0,Condo/Townhome/Row Home/Co-Op,922,1001,65000
8637 Castle Hill Ave Las Vegas NV 89129,5,4,0,Single Family Home,4640,7840,375000
9416 Tournament Canyon Dr Las Vegas NV 89144,5,4,2,Single Family Home,5904,15682,1650000
5529 Porcupine Rim St Las Vegas NV 89130,5,3,1,Single Family Home,3779,6534,348000
6249 Whispering Creek St Las Vegas NV 89148,5,3,1,Single Family Home,3359,5662,300000
3290 Squire St Las Vegas NV 89135,3,2,0,Single Family Home,2313,6098,345000
6629 W Tropicana Ave Unit 201 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,1013,,65000
1420 Anime Dr Las Vegas NV 89144,5,2,1,Single Family Home,2100,4791,299000
1787 Solvang Mill Dr Las Vegas NV 89135,3,2,1,Single Family Home,1616,3484,325000
3151 Soaring Gulls Dr Unit 1184 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1074,,74900
10548 Meadow Mist Ave Las Vegas NV 89135,4,4,0,Single Family Home,3128,8712,449750
835 Offerman Ave Las Vegas NV 89123,2,2,0,Single Family Home,1179,5227,140000
7222 Lafite Ct Las Vegas NV 89117,4,3,1,Single Family Home,4136,20473,725876
3757 Lily Haven Ave Las Vegas NV 89120,5,3,0,Single Family Home,2955,5227,312821
Las Vegas NV 89145,5,3,0,Single Family Home,2342,6534,104900
1916 Salvation St North Las Vegas NV 89115,3,3,1,Single Family Home,1959,2178,137000
